#version: AntiShare
#This file is used for mapping common names to Material enum entries
#item,material name
cweb,WEB
web,WEB
longgrass,LONG_GRASS
tallgrass,LONG_GRASS
wildgrass,LONG_GRASS
grasslong,LONG_GRASS
grasstall,LONG_GRASS
grasswild,LONG_GRASS
lgrass,LONG_GRASS
tgrass,LONG_GRASS
wgrass,LONG_GRASS
fern,LONG_GRASS
bush,LONG_GRASS
deadshrub,DEAD_BUSH
dshrub,DEAD_BUSH
deadbush,DEAD_BUSH
dbush,DEAD_BUSH
deadsapling,DEAD_BUSH
piston,PISTON_BASE
pistonbase,PISTON_BASE
pistonblock,PISTON_BASE
whitewool,WOOL
whitecloth,WOOL
whitecotton,WOOL
wcloth,WOOL
wwool,WOOL
wcotton,WOOL
cloth,WOOL
wool,WOOL
cotton,WOOL
orangewool,WOOL
orangecloth,WOOL
orangecotton,WOOL
ocloth,WOOL
owool,WOOL
ocotton,WOOL
magentawool,WOOL
magentacloth,WOOL
magentacotton,WOOL
mcloth,WOOL
mwool,WOOL
mcotton,WOOL
lightbluewool,WOOL
lightbluecloth,WOOL
lightbluecotton,WOOL
lbluecloth,WOOL
lbluewool,WOOL
lbluecotton,WOOL
lightblucloth,WOOL
lightbluwool,WOOL
lightblucotton,WOOL
lblucloth,WOOL
lbluwool,WOOL
lblucotton,WOOL
lbcloth,WOOL
lbwool,WOOL
lbcotton,WOOL
yellowwool,WOOL
yellowcloth,WOOL
yellowcotton,WOOL
ycloth,WOOL
ywool,WOOL
ycotton,WOOL
lightgreenwool,WOOL
lightgreencloth,WOOL
lightgreencotton,WOOL
lgreencloth,WOOL
lgreenwool,WOOL
lgreencotton,WOOL
lightgrecloth,WOOL
lightgrewool,WOOL
lightgrecotton,WOOL
lgrecloth,WOOL
lgrewool,WOOL
lgrecotton,WOOL
limecloth,WOOL
limewool,WOOL
limecotton,WOOL
lcloth,WOOL
lwool,WOOL
lcotton,WOOL
pinkwool,WOOL
pinkcloth,WOOL
pinkcotton,WOOL
picloth,WOOL
piwool,WOOL
picotton,WOOL
darkgraywool,WOOL
darkgraycloth,WOOL
darkgraycotton,WOOL
darkgreywool,WOOL
darkgreycloth,WOOL
darkgreycotton,WOOL
dgraycloth,WOOL
dgraywool,WOOL
dgraycotton,WOOL
dgreycloth,WOOL
dgreywool,WOOL
dgreycotton,WOOL
darkgracloth,WOOL
darkgrawool,WOOL
darkgracotton,WOOL
dgracloth,WOOL
dgrawool,WOOL
dgracotton,WOOL
graycloth,WOOL
graywool,WOOL
graycotton,WOOL
greycloth,WOOL
greywool,WOOL
greycotton,WOOL
gracloth,WOOL
grawool,WOOL
gracotton,WOOL
lightgraywool,WOOL
lightgraycloth,WOOL
lightgraycotton,WOOL
lgraycloth,WOOL
lgraywool,WOOL
lgraycotton,WOOL
lightgreywool,WOOL
lightgreycloth,WOOL
lightgreycotton,WOOL
lgreycloth,WOOL
lgreywool,WOOL
lgreycotton,WOOL
lightgracloth,WOOL
lightgrawool,WOOL
lightgracotton,WOOL
lgracloth,WOOL
lgrawool,WOOL
lgracotton,WOOL
silvercloth,WOOL
silverwool,WOOL
silvercotton,WOOL
sicloth,WOOL
siawool,WOOL
siacotton,WOOL
cyanwool,WOOL
cyancloth,WOOL
cyancotton,WOOL
ccloth,WOOL
cwool,WOOL
ccotton,WOOL
purplewool,WOOL
purplecloth,WOOL
purplecotton,WOOL
pucloth,WOOL
puwool,WOOL
pucotton,WOOL
bluewool,WOOL
bluecloth,WOOL
bluecotton,WOOL
blucloth,WOOL
bluwool,WOOL
blucotton,WOOL
brownwool,WOOL
browncloth,WOOL
browncotton,WOOL
brocloth,WOOL
browool,WOOL
brocotton,WOOL
darkgreenwool,WOOL
darkgreencloth,WOOL
darkgreencotton,WOOL
dgreencloth,WOOL
dgreenwool,WOOL
dgreencotton,WOOL
greencloth,WOOL
greenwool,WOOL
greencotton,WOOL
darkgrecloth,WOOL
darkgrewool,WOOL
darkgrecotton,WOOL
dgrecloth,WOOL
dgrewool,WOOL
dgrecotton,WOOL
grecloth,WOOL
grewool,WOOL
grecotton,WOOL
redwool,WOOL
redcloth,WOOL
redcotton,WOOL
rcloth,WOOL
rwool,WOOL
rcotton,WOOL
blackwool,WOOL
blackcloth,WOOL
blackcotton,WOOL
blacloth,WOOL
blawool,WOOL
blacotton,WOOL
dandelion,YELLOW_FLOWER
yellowdandelion,YELLOW_FLOWER
ydandelion,YELLOW_FLOWER
yellowflower,YELLOW_FLOWER
yflower,YELLOW_FLOWER
flower,YELLOW_FLOWER
rose,RED_ROSE
redrose,RED_ROSE
rrose,RED_ROSE
redflower,RED_ROSE
rflower,RED_ROSE
poppy,RED_ROSE
redpoppy,RED_ROSE
blueorchid,RED_ROSE
cyanorchid,RED_ROSE
lightblueorchid,RED_ROSE
lblueorchid,RED_ROSE
orchid,RED_ROSE
allium,RED_ROSE
magentaallium,RED_ROSE
azurebluet,RED_ROSE
whiteazurebluet,RED_ROSE
abluet,RED_ROSE
azureb,RED_ROSE
houstonia,RED_ROSE
redtulip,RED_ROSE
tulipred,RED_ROSE
rtulip,RED_ROSE
tulipr,RED_ROSE
orangetulip,RED_ROSE
tuliporange,RED_ROSE
otulip,RED_ROSE
tulipo,RED_ROSE
whitetulip,RED_ROSE
tulipwhite,RED_ROSE
wtulip,RED_ROSE
tulipw,RED_ROSE
pinktulip,RED_ROSE
tulippink,RED_ROSE
ptulip,RED_ROSE
tulipp,RED_ROSE
oxeye,RED_ROSE
daisy,RED_ROSE
oxeyedaisy,RED_ROSE
daisyoxeye,RED_ROSE
moondaisy,RED_ROSE
daisymoon,RED_ROSE
lightgrayoxeye,RED_ROSE
lgrayoxeye,RED_ROSE
lightgreyoxeye,RED_ROSE
lgreyoxeye,RED_ROSE
brownmushroom,BROWN_MUSHROOM
brownshroom,BROWN_MUSHROOM
brownmush,BROWN_MUSHROOM
bmushroom,BROWN_MUSHROOM
bshroom,BROWN_MUSHROOM
bmush,BROWN_MUSHROOM
redmushroom,RED_MUSHROOM
redshroom,RED_MUSHROOM
redmush,RED_MUSHROOM
rmushroom,RED_MUSHROOM
rshroom,RED_MUSHROOM
rmush,RED_MUSHROOM
goldblock,GOLD_BLOCK
blockgold,GOLD_BLOCK
gblock,GOLD_BLOCK
blockg,GOLD_BLOCK
ironblock,IRON_BLOCK
steelblock,IRON_BLOCK
blockiron,IRON_BLOCK
blocksteel,IRON_BLOCK
iblock,IRON_BLOCK
stblock,IRON_BLOCK
blocki,IRON_BLOCK
blockst,IRON_BLOCK
stonedoublestep,DOUBLE_STEP
stonedstep,DOUBLE_STEP
sdoublestep,DOUBLE_STEP
sdstep,DOUBLE_STEP
doublestonestep,DOUBLE_STEP
dstonestep,DOUBLE_STEP
doublesstep,DOUBLE_STEP
doublestep,DOUBLE_STEP
dstep,DOUBLE_STEP
stonedoubleslab,DOUBLE_STEP
stonedslab,DOUBLE_STEP
sdoubleslab,DOUBLE_STEP
sdslab,DOUBLE_STEP
doublestoneslab,DOUBLE_STEP
dstoneslab,DOUBLE_STEP
doublesslab,DOUBLE_STEP
doubleslab,DOUBLE_STEP
dslab,DOUBLE_STEP
stonedoublehalfblock,DOUBLE_STEP
stonedhalfblock,DOUBLE_STEP
sdoublehalfblock,DOUBLE_STEP
sdhalfblock,DOUBLE_STEP
doublestonehalfblock,DOUBLE_STEP
dstonehalfblock,DOUBLE_STEP
doubleshalfblock,DOUBLE_STEP
doublehalfblock,DOUBLE_STEP
dhalfblock,DOUBLE_STEP
sandstonedoublestep,DOUBLE_STEP
sandstonedstep,DOUBLE_STEP
sstonedoublestep,DOUBLE_STEP
sstonedstep,DOUBLE_STEP
ssdoublestep,DOUBLE_STEP
ssdstep,DOUBLE_STEP
doublesandstonestep,DOUBLE_STEP
dsandstonestep,DOUBLE_STEP
doublesstonestep,DOUBLE_STEP
dsstonestep,DOUBLE_STEP
doublessstep,DOUBLE_STEP
dsstep,DOUBLE_STEP
sandstonedoubleslab,DOUBLE_STEP
sandstonedslab,DOUBLE_STEP
sstonedoubleslab,DOUBLE_STEP
sstonedslab,DOUBLE_STEP
ssdoubleslab,DOUBLE_STEP
ssdslab,DOUBLE_STEP
doublesandstoneslab,DOUBLE_STEP
dsandstoneslab,DOUBLE_STEP
doublesstoneslab,DOUBLE_STEP
dsstoneslab,DOUBLE_STEP
doublessslab,DOUBLE_STEP
dsslab,DOUBLE_STEP
sandstonedoublehalfblock,DOUBLE_STEP
sandstonedhalfblock,DOUBLE_STEP
sstonedoublehalfblock,DOUBLE_STEP
sstonedhalfblock,DOUBLE_STEP
ssdoublehalfblock,DOUBLE_STEP
ssdhalfblock,DOUBLE_STEP
doublesandstonehalfblock,DOUBLE_STEP
dsandstonehalfblock,DOUBLE_STEP
doublesstonehalfblock,DOUBLE_STEP
dsstonehalfblock,DOUBLE_STEP
doublesshalfblock,DOUBLE_STEP
dsshalfblock,DOUBLE_STEP
plankstonedoublestep,DOUBLE_STEP
woodenstonedoublestep,DOUBLE_STEP
woodenstonedstep,DOUBLE_STEP
woodstonedoublestep,DOUBLE_STEP
woodstonedstep,DOUBLE_STEP
wstonedoublestep,DOUBLE_STEP
wstonedstep,DOUBLE_STEP
doublewoodenstonestep,DOUBLE_STEP
dwoodenstonestep,DOUBLE_STEP
doublewoodstonestep,DOUBLE_STEP
dwoodstonestep,DOUBLE_STEP
doublewstonestep,DOUBLE_STEP
dwstonestep,DOUBLE_STEP
woodenstonedoubleslab,DOUBLE_STEP
woodenstonedslab,DOUBLE_STEP
woodstonedoubleslab,DOUBLE_STEP
woodstonedslab,DOUBLE_STEP
wstonedoubleslab,DOUBLE_STEP
wstonedslab,DOUBLE_STEP
